UniProt Accession	Ensembl Gene ID	Gene Symbol	
A6NEM1	ENSG00000197978; ENSG00000274320	GOLGA6L9	
Q9BWQ8	ENSG00000135472	FAIM2	
O95279	ENSG00000164626	KCNK5	
Q9Y243	ENSG00000117020; ENSG00000275199	AKT3	
P09001	ENSG00000114686	MRPL3	
Q8NCL9	ENSG00000198768	APCDD1L	
Q9Y468	ENSG00000185513	L3MBTL1	
O60739	ENSG00000114784	EIF1B	
F2Z333	ENSG00000228594	FNDC10	
P09466	ENSG00000122133	PAEP	
P02533	ENSG00000186847	KRT14	
Q9H0M0	ENSG00000123124	WWP1	
Q8WV83	ENSG00000115084	SLC35F5	
Q9BX93	ENSG00000138308	PLA2G12B	
Q7L0Y3	ENSG00000174173	TRMT10C	
P57679	ENSG00000072840	EVC	
Q8N122	ENSG00000141564	RPTOR	
P49768	ENSG00000080815	PSEN1	
Q16821	ENSG00000154415	PPP1R3A	
P86478	ENSG00000204919; ENSG00000204918; ENSG00000229665; ENSG00000227151; ENSG00000234278	PRR20E	
O60676	ENSG00000125815	CST8	
Q15147	ENSG00000101333	PLCB4	
Q6P9G4	ENSG00000170006	TMEM154	
Q9NYV4	ENSG00000167258	CDK12	
M5A8F1	ENSG00000233056	ERVH48-1	
Q16280	ENSG00000183862	CNGA2	
Q06418	ENSG00000092445	TYRO3	
Q9H3Y0	ENSG00000101074	R3HDML	
P19087	ENSG00000134183	GNAT2	
Q9UHW9	ENSG00000140199	SLC12A6	
Q6ZNM6	ENSG00000196900	TEX43	
Q8N5Y2	ENSG00000005302	MSL3	
Q9BU61	ENSG00000178057	NDUFAF3	
P07101	ENSG00000180176	TH	
Q9GZY8	ENSG00000168958	MFF	
P01574	ENSG00000171855	IFNB1	
Q16181	ENSG00000122545	SEPT7	
Q9UBG7	ENSG00000124232	RBPJL	
Q9BPW8	ENSG00000184117	NIPSNAP1	
A6NI86	ENSG00000278662; ENSG00000274042; ENSG00000274166	GOLGA6L10	
O14924	ENSG00000159788	RGS12	
P08575	ENSG00000081237; ENSG00000262418	PTPRC	
Q5JX71	ENSG00000124103	FAM209A	
P24046	ENSG00000146276	GABRR1	
Q7Z6V5	ENSG00000189007	ADAT2	
Q9UBT3	ENSG00000104371	DKK4	
Q8WU17	ENSG00000170881	RNF139	
P07910	ENSG00000092199	HNRNPC	
Q96HB5	ENSG00000147144	CCDC120	
O95476	ENSG00000175826	CTDNEP1	
Q9UKI2	ENSG00000163171	CDC42EP3	
Q15543	ENSG00000197780	TAF13	
A0A1B0GVH6	ENSG00000226792	C13orf42	
A4D0Y5	ENSG00000275356	C7orf77	
P01130	ENSG00000130164	LDLR	
P0C7P4	-	UQCRFS1P1	
P51648	ENSG00000072210	ALDH3A2	
Q9BXP2	ENSG00000146828	SLC12A9	
P38606	ENSG00000114573	ATP6V1A	
Q9H867	ENSG00000100483	VCPKMT	
Q9HAK2	ENSG00000221818	EBF2	
Q8IYL3	ENSG00000198912	C1orf174	
P39060	ENSG00000182871	COL18A1	
Q8NGG5	ENSG00000263328; ENSG00000150261	OR8K1	
Q13490	ENSG00000110330	BIRC2	
Q86XG9	-	NBPF5P	
Q9NXT0	ENSG00000083828	ZNF586	
A0A0A6YYJ7	-	TRAV8-3	
Q5VV42	ENSG00000145996	CDKAL1	
P03905	ENSG00000198886	MT-ND4	
Q9NRC9	ENSG00000125879	OTOR	
P32929	ENSG00000116761	CTH	
Q9Y6D0	ENSG00000113811	SELENOK	
Q9NRM2	ENSG00000198839	ZNF277	
Q16649	ENSG00000165030	NFIL3	
Q9ULZ2	ENSG00000035720	STAP1	
O75604	ENSG00000036672	USP2	
Q16401	ENSG00000095261	PSMD5	
Q9H3S7	ENSG00000076201	PTPN23	
Q8IYA6	ENSG00000169607	CKAP2L	
Q5SWW7	ENSG00000222047	C10orf55	
Q8TCA0	ENSG00000172731	LRRC20	
P07307	ENSG00000161944	ASGR2	
O60478	ENSG00000077585	GPR137B	
A0A0A0MT36	-	IGKV6D-21	
Q9NUK0	ENSG00000076770	MBNL3	
Q9NWU2	ENSG00000101193	GID8	
Q5THR3	ENSG00000186976	EFCAB6	
Q13797	ENSG00000144668	ITGA9	
Q8N9N5	ENSG00000172530	BANP	
Q8N5I4	ENSG00000169084	DHRSX	
O95801	ENSG00000243725	TTC4	
O60645	ENSG00000180104	EXOC3	
Q8N954	ENSG00000152133	GPATCH11	
Q14201	ENSG00000281484; ENSG00000154640	BTG3	
P43365	ENSG00000213401	MAGEA12	
Q9Y4B6	ENSG00000145041	DCAF1	
Q6ZW49	ENSG00000157212	PAXIP1	
Q8IZU0	ENSG00000177138	FAM9B	
Q13519	ENSG00000168081	PNOC	
A0A1B0GUW7	ENSG00000235453	SMIM27	
P08631	ENSG00000101336	HCK	
Q8IZS6	ENSG00000184786; ENSG00000275368	TCTE3	
P32241	ENSG00000114812	VIPR1	
P78364	ENSG00000111752	PHC1	
O15427	ENSG00000141526	SLC16A3	
Q96Q07	ENSG00000183826	BTBD9	
O60566	ENSG00000156970	BUB1B	
Q8IYQ7	ENSG00000185875	THNSL1	
Q15738	ENSG00000147383	NSDHL	
Q86WR6	ENSG00000141371	C17orf64	
P00973	ENSG00000089127	OAS1	
O00459	ENSG00000105647	PIK3R2	
Q5VZR2	ENSG00000188152	NUTM2G	
P01699	-	IGLV1-44	
P48736	ENSG00000105851	PIK3CG	
